ID,q_cfs_da,q_cfs_no_da
5781447,0.007694337654837195,0.007769230486360213
5781947,0.0028264075629161924,0.0028251747223128005
5781459,0.0021190128175981437,0.002118881041734601
5781953,0.0007062950942070059,0.0007062936805782005
5781413,47.32623642396235,50.335138122545
5781347,352.10008221765156,575.5721113685811
5781335,323.6647902855283,587.1118324536947
5781921,340.29432110741976,575.8133791085983
5781961,316.4889728467177,587.9867419886115
5781729,63.12211695851075,116.82443768247488
5781727,236.62495695435106,307.44353705019336
5781709,436.4401961725424,456.9974988187313
5781247,130.79549426495996,134.74841831400892
5781249,123.65451739445527,123.91197270092994
5781949,3.945293356381275,3.9452795284130966
5781271,5.340094080664793,5.4207728558838415
5781279,36.55047588837924,36.590175268899436
5781283,107.99076059805729,108.00015896005634
5780031,100.32090479011045,100.32846469293769
5780033,509.95618875712154,510.39579584538603
5780047,40.140615812208026,40.141318329277595
5780049,105.29497896127243,105.30563477579922
5780051,142.00922102487763,142.03206950662198
